participant_id,date,data_type,content,depth_rating,philosophy_used,archetype
manha,2026-04-23,dilemma,The Plagiarised Essay,,Virtue Ethics,The Character Builder
manha,2026-04-21,dilemma,The Group Chat,,Virtue Ethics,The Character Builder
manha,2026-04-20,dilemma,Independent Thinker,,Deontology,The Independent Thinker
manha,2026-04-19,dilemma,The Examiner,,Socratic Method,The Examiner
manha,2026-04-18,dilemma,The Principled,,Deontology,The Principled
manha,2026-04-17,dilemma,Character Builder,,Virtue Ethics,The Character Builder
manha,2026-04-16,dilemma,The Principled,,Deontology,The Principled
manha,2026-04-15,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Utilitarianism,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
ridhip,2026-04-22,dilemma,The Exam Cheat,,Deontology,The Principled
ridhip,2026-04-13,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-04-02,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
ridhip,2026-04-02,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-03-30,dilemma,Independent Thinker,,Compassionate Justice,The Independent Thinker
ridhip,2026-03-30,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-03-30,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
ridhip,2026-03-30,dilemma,The Examiner,,Socratic Method,The Examiner
zara,2026-04-14,dilemma,Character Builder,,Virtue Ethics,The Character Builder
zara,2026-04-09,dilemma,Independent Thinker,,Proportionality and Compassion,The Independent Thinker
zara,2026-04-08,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
zara,2026-04-06,dilemma,Independent Thinker,,Proportionate Response,The Independent Thinker
zara,2026-04-02,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
zara,2026-04-02,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
maleesha,2026-03-27,dilemma,,,, 
triya,2026-03-31,dilemma,Independent Thinker,,Selective Honest Emphasis,The Independent Thinker
triya,2026-03-31,dilemma,The Principled,,Deontology,The Principled
triya,2026-03-30,dilemma,Independent Thinker,,Non-Confrontational Protection,The Independent Thinker
triya,2026-03-30,dilemma,Character Builder,,Virtue Ethics,The Character Builder
triya,2026-03-29,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
triya,2026-03-28,dilemma,Independent Thinker,,Proportionate Justice,The Independent Thinker
triya,2026-03-27,dilemma,Independent Thinker,,Compassionate Justice,The Independent Thinker
triya,2026-03-27,dilemma,Independent Thinker,,Proportionate Response,The Independent Thinker
triya,2026-03-27,dilemma,The Principled,,Deontology,The Principled
triya,2026-03-27,dilemma,Character Builder,,Virtue Ethics,The Character Builder
elle,2026-03-30,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
elle,2026-03-30,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
elle,2026-03-29,dilemma,The Principled,,Deontology,The Principled
elle,2026-03-29,dilemma,The Principled,,Deontology,The Principled
elle,2026-03-29,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
elle,2026-03-29,dilemma,Independent Thinker,,Existentialism,The Independent Thinker
elle,2026-03-28,dilemma,Independent Thinker,,Proportionality and Compassion,The Independent Thinker
elle,2026-03-28,dilemma,The Examiner,,Socratic Method,The Examiner
elle,2026-03-28,dilemma,The Principled,,Deontology,The Principled
elle,2026-03-28,dilemma,Independent Thinker,,Proportionate Response,The Independent Thinker
pickl,2026-03-29,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
chiliflake,2026-03-28,dilemma,The Principled,,Deontology,The Principled
maleesha,2026-03-27,lesson,i want to get better at synchro especially my eggbeater height,It resonated,,
maleesha,2026-03-28,lesson,right before i have to do a run through for swim i get super scared,It resonated,,
maleesha,2026-03-30,lesson,i was anticipating hoco bc i was so excited for it,I understood it,,
maleesha,2026-04-01,lesson,i mostly address the stressor exercise helps a lot,It resonated,,
maleesha,2026-04-03,lesson,i didnt sleep as much as i feel like i should have this week,Mind-shifting,,
maleesha,2026-04-04,lesson,i could view my problem from a larger perspective,It resonated,,
maleesha,2026-04-05,lesson,i spent way too much time on my phone especially right before bed,Mind-shifting,,
maleesha,2026-04-06,lesson,i feel like recently i have been at an extreme with procrastination,Surface level,,
maleesha,2026-04-07,lesson,i dont think there is anything difficult in my life i havent found meaning in,It resonated,,
maleesha,2026-04-08,lesson,maybe the villi notebook check cheating thing,It resonated,,
maleesha,2026-04-09,lesson,calm tired kind of overwhelmed,It resonated,,
maleesha,2026-04-10,lesson,i give too much of my attention to my phone,It resonated,,
maleesha,2026-04-11,lesson,i would stop being on my phone so much,It resonated,,
maleesha,2026-04-12,lesson,i think i do filtering the most where i only focus on the negative,It resonated,,
maleesha,2026-04-13,lesson,how annoying the online chem thingy was,It resonated,,
maleesha,2026-04-14,lesson,when i was talking to my mom recently about something,It resonated,,
maleesha,2026-04-15,lesson,studying for chem,It resonated,,
maleesha,2026-04-16,lesson,i cant think of anything rn im too tired,It resonated,,
maleesha,2026-04-17,lesson,i think for most things i pursued i genuinely want it,I understood it,,
maleesha,2026-04-18,lesson,i think in my head sometimes i dont say things fully,It resonated,,
maleesha,2026-04-19,lesson,something that i do everyday is my hw and i try reframing it,It resonated,,
manha,2026-04-14,lesson,I think Id want to change how fast I memorize things,I understood it,,
manha,2026-04-15,lesson,I often think during situations where I have to make a decision on the spot,I understood it,,
manha,2026-04-15,lesson,My anticipation shows that Im very excited about something,I understood it,,
manha,2026-04-19,lesson,I try to address the stressor,Mind-shifting,,
manha,2026-04-19,lesson,I feel like if I get more sleep it makes me think clearer,Mind-shifting,,
triya,2026-04-01,lesson,A quality that I want to develop is to be more vocal about my needs,It resonated,,
triya,2026-04-02,lesson,When I am angry or feel left out,Mind-shifting,,
triya,2026-04-07,lesson,The anticipating was way better than the reality,It resonated,,
triya,2026-04-08,lesson,When I am stressed I address the stressor,It resonated,,
triya,2026-04-19,lesson,If you are sleep deprived you cant think properly or remember,It resonated,,
chiliflake,2026-04-01,lesson,for me sleep is pretty important so i ensure to balance both school and sleep,I understood it,,
chiliflake,2026-04-02,lesson,i address the stress because it is on my mind,I understood it,,
chiliflake,2026-04-03,lesson,when i get a bad score i immediately think about what i did wrong,I understood it,,
chiliflake,2026-04-13,lesson,i want to develop better critical thinking skills,I understood it,,
chiliflake,2026-04-14,lesson,an extreme is staying up late when i could be getting more rest,I understood it,,
chiliflake,2026-04-15,lesson,one belief would be that i am capable of doing things on my own,I understood it,,
chiliflake,2026-04-16,lesson,something that competes for my attention daily is sometimes my homework,I understood it,,
chiliflake,2026-03-31,lesson,ive been anticipating robotics competition,Surface level,,
elle,2026-03-28,lesson,I need to get to bed earlier so I can get more sleep,Surface level,,
elle,2026-03-28,lesson,I use vague language when I dont want to do something,I understood it,,
elle,2026-03-28,lesson,I want to remember mortality so I stop wasting time,Surface level,,
elle,2026-03-28,lesson,I want to develop the ability to not procrastinate,I understood it,,
pickl,2026-03-28,lesson,I would want to develop my ability to focus and prevent distractions,I understood it,,
sk,2026-04-14,lesson,I want to be a better friend and have good grades and be athletic,I understood it,,
sk,2026-04-18,lesson,Typically when I dont have a lot of sleep have lots of emotions,I understood it,,
sk,2026-04-20,lesson,When youre anticipating things you can either think of it the best way,It resonated,,